Series,Number,Name,Address
23,992896796,MAYARA FAGUNDES RIBEIRO RIBEIRO,AVENIDA TIPOGRAFO PAULO NEVES 225
24,970899167,DENISE SAMARA RIBEIRO AMARAL,RUA  MATIAS CHAGAS 600
25,922444173,MATHEUS PEDRO CARVALHO MACEDO,ALAMEDA PROFESSOR LUIS FERNANDES 110
26,933621408,LETICIA LEITE,AVENIDA PROFESSOR LUIS LEITE 770
27,941525746,ERICA ANA DUTRA JUSTINO BARRETO,PRACA MAJOR BRUNO LINHARES 466
28,934517337,RACHEL BRUNA MORAES MACHADO CORREIA,AVENIDA SARGENTO VINICIUS XAVIER 461
29,946593156,GUILHERME MATOS PIRES,AVENIDA MAJOR GUILHERME VASCONCELOS 388
30,909868174,LUIS BENTO,RUA SARGENTO GUILHERME DUTRA 385
31,961233463,GABRIEL FELIPE BARRETO,PRACA MAJOR MATIAS BRAGA 462
32,974805058,ALFREDO BENTO,PRACA DOUTOR GABRIEL PESSOA 627
33,940195273,DENISE JAQUELINE FERNANDES,ALAMEDA DESEMBARGADOR LUCAS MEDEIROS 252
34,901929367,RAQUEL ANTUNES ABREU,RUA DOUTOR BRUNO ASSIS 181
35,972480241,ALESSANDRO LUIZ AMARAL FERNANDES CAMPOS,TRAVESSA PROFESSOR MATIAS JUSTINO 81
36,927756322,SAMANTA BRAGA PINTO,AVENIDA DESEMBARGADOR GABRIEL PEREIRA 396
37,961249500,SAMARA LARISSA NASCIMENTO MACHADO,TRAVESSA TIPOGRAFO JOAO ONOFRE 812
38,942657652,JULIA SAMANTA CORREIA,PRACA SARGENTO RICARDO FERNANDES 216
39,953144358,MATIAS PESSOA SALES,ALAMEDA DESEMBARGADOR RAFAEL BARROS 953
40,946007895,MATHEUS GUSTAVO DUTRA DUTRA,TRAVESSA  RAFAEL CARVALHO 545
41,952400867,JOAO GABRIEL SANTOS BARROS LOPES,RUA DESEMBARGADOR RAFAEL RIBEIRO 941
42,953692456,RACHEL BRASIL CARDOSO,ALAMEDA MAJOR GUSTAVO LINHARES 259
43,963679666,MAYARA FAGUNDES FRANCA,TRAVESSA  LUCAS SANTOS 16
44,996950889,LUCAS LUIS BARROS MORAES CANDIDO,TRAVESSA SARGENTO ALFREDO MACEDO 648
45,956298914,MARIA MARIA BARROS CASTRO,AVENIDA DESEMBARGADOR LEONARDO MACEDO 555
46,991302267,CARLOS ALFREDO RABELO,ALAMEDA MAJOR MATIAS AZEVEDO 989
47,900978070,ANA LUCIA ARAUJO BAHR CHAGAS,TRAVESSA SARGENTO FELIPE CAMARGO 161
48,961761476,LUANA JULIA BATISTA COELHO MACEDO,AVENIDA DESEMBARGADOR LUIZ LIMA 987
49,908873914,JOSE PAULO MONTEIRO FREITAS CASTRO,RUA  PEDRO CANDIDO 907
50,996429584,VINICIUS LUIS NEVES MEDEIROS,ALAMEDA  RICARDO MATOS 69
51,932625857,BRUNO MATHEUS BATISTA ROCHA PRADO,RUA PROFESSOR PEDRO MACEDO 52
52,997865688,LUIZ ALFREDO SILVA ONOFRE,TRAVESSA DESEMBARGADOR DANIEL BRASIL 807
53,968055351,MATIAS BARRETO ALMEIDA SANTOS,TRAVESSA PROFESSOR GABRIEL VASCONCELOS 55
54,947069866,THIAGO BARROS BAHR JUSTINO,TRAVESSA TIPOGRAFO FELIPE RABELO 741
55,904233441,BEATRIZ DANIELA SILVA MATOS,ALAMEDA TIPOGRAFO LUIZ BARRETO 73
56,957983892,JOAO CARVALHO BATISTA FRAGA,TRAVESSA DOUTOR CARLOS ARAUJO 702
57,941258751,RAFAEL GUSTAVO BARROS,ALAMEDA TIPOGRAFO RICARDO ALMEIDA 313
58,955959665,SAMARA RACHEL RODRIGUES LEAL BATISTA,TRAVESSA PROFESSOR RAFAEL FAGUNDES 384
59,913457376,THIAGO JOAO MACIEL RABELO,AVENIDA DESEMBARGADOR LUIS VIEIRA 42
60,977039540,LUCAS SABINO BRASIL MACHADO,PRACA DOUTOR ALFREDO SILVA 903
61,979367057,DENISE NEVES SABINO,PRACA  JOAO ABREU 43
62,912371136,MAYARA DANIELA ROCHA PADILHA,TRAVESSA DESEMBARGADOR LUIZ FREITAS 236
63,966410221,LUIS VINICIUS MARTINS SILVA,PRACA DESEMBARGADOR PAULO ALBINO 140
64,914588700,DANIEL MONTEIRO,PRACA PROFESSOR MATHEUS LINHARES 742
65,913800122,ERICA PEREIRA LEAL,RUA SARGENTO MATHEUS RIBEIRO 825
66,982925179,FELIPE MARCOS PINTO ALVES,PRACA SARGENTO LUCAS LOPES 976
67,918059912,DANIELA BAHR CASTRO CASTRO,AVENIDA DESEMBARGADOR ALESSANDRO CHAGAS 94
68,904018288,ALESSANDRO ALFREDO BAHR MIRANDA VARGAS,PRACA  GABRIEL MACHADO 876
69,901178510,JOSE GUSTAVO MONTEIRO,AVENIDA PROFESSOR RICARDO CARVALHO 459
70,948315720,ALFREDO MARTINS,AVENIDA  DANIEL PACHECO 214
71,994354744,BRUNA GABRIELA MACHADO BRASIL,ALAMEDA PROFESSOR RICARDO RAMOS 364
72,932315699,DANIELA MARTINS COELHO,RUA TIPOGRAFO BRUNO BAHR 697
73,980127114,RICARDO MATIAS MEDEIROS ONOFRE,ALAMEDA TIPOGRAFO RICARDO DUTRA 825
74,943328978,MATIAS JOSE RAMOS,RUA TIPOGRAFO JOAO VIEIRA 894
75,997307403,GABRIELA BEATRIZ MARQUES CORREIA,AVENIDA PROFESSOR THIAGO MARQUES 150
76,953061670,PEDRO TEIXEIRA,ALAMEDA MAJOR RICARDO SOARES 887
77,954478509,FELIPE JOAO MATOS,TRAVESSA TIPOGRAFO LEONARDO LEAL 573
78,939788493,THIAGO PACHECO SILVEIRA VIEIRA,RUA DOUTOR PEDRO BENTO 545
79,997261034,GUSTAVO LUCAS RIBEIRO,PRACA SARGENTO VINICIUS CAMARGO 253
80,967968137,LUCAS PEDRO BATISTA,PRACA DESEMBARGADOR MATHEUS MACHADO 744
81,902169293,PAULO ALFREDO LINHARES SABINO BAHR,ALAMEDA DESEMBARGADOR MATHEUS PIRES 870
82,932982653,BEATRIZ GABRIELA FRAGA PACHECO SOARES,ALAMEDA PROFESSOR BRUNO SOARES 408
83,943568370,GUSTAVO PEDRO PAIVA BRITO,RUA DESEMBARGADOR JOAO LEAL 704
84,910233489,ERICA RACHEL SILVA FERNANDES CARDOSO,TRAVESSA TIPOGRAFO VINICIUS ABREU 867
85,958257355,RAQUEL BRASIL CHAGAS MATOS,ALAMEDA SARGENTO RAFAEL SABINO 492
86,900591467,PAULO LEONARDO FERNANDES AMARAL,AVENIDA SARGENTO JOSE MONTEIRO 799
87,907560865,PEDRO ANTUNES RIBEIRO VASCONCELOS,RUA  FELIPE MATOS 79
88,934151263,VINICIUS MARCOS BRASIL LOPES,ALAMEDA  JOAO DUTRA 904
89,987657369,ALFREDO MACEDO,ALAMEDA  MARCOS MIRANDA 564
90,913043730,JOAO CAMPOS,ALAMEDA TIPOGRAFO JOAO RODRIGUES 480
91,932799614,JAQUELINE RIBEIRO MATOS,ALAMEDA PROFESSOR DANIEL ABREU 354
92,932470834,LUCIA CARDOSO ROCHA XAVIER,TRAVESSA MAJOR PAULO ALBINO 76
93,923601657,GABRIELA JESSICA LINHARES,TRAVESSA TIPOGRAFO MATIAS PAIVA 302
94,969710139,ALESSANDRO LUIS PADILHA CHAGAS RABELO,TRAVESSA  MATIAS MACIEL 956
95,986091383,GABRIELA LARISSA MORAES PADILHA,TRAVESSA PROFESSOR VINICIUS DUTRA 178
96,957319434,JAQUELINE ALBINO XAVIER RODRIGUES,TRAVESSA  RAFAEL VASCONCELOS 349
97,997404669,JESSICA BAHR BARROS ANDRADE,TRAVESSA TIPOGRAFO MATHEUS RAMOS 822
98,967888664,JESSICA ARAUJO TEIXEIRA ARAUJO,PRACA  LUCAS NEVES 171
99,973012785,DANIELA PRADO DUTRA,PRACA MAJOR GABRIEL PINHO 812
100,949972265,RAFAEL MIRANDA BAHR,AVENIDA  MATHEUS FREITAS 262
101,972239438,LETICIA JESSICA LEITE TEIXEIRA CANDIDO,PRACA DESEMBARGADOR ALFREDO CORREIA 259
102,909273743,GUSTAVO GABRIEL ABREU MARTINS,ALAMEDA  DANIEL FRAGA 721
103,953728271,JESSICA NEVES ALVES PEREIRA,AVENIDA DOUTOR ALFREDO BRITO 685
104,998435549,LARISSA BATISTA MEDEIROS,ALAMEDA MAJOR JOAO FAGUNDES 33
105,917597476,JOAO ALESSANDRO BATISTA,TRAVESSA MAJOR ALFREDO BRITO 54
106,918918919,LARISSA FERNANDES COELHO,ALAMEDA SARGENTO JOSE BAHR 939
107,938668819,MARCOS LOPES,PRACA DOUTOR RICARDO BRITO 427
108,973269838,LUCIA LUCIA MIRANDA ALVES,PRACA  LEONARDO SILVEIRA 494
109,900343781,MATHEUS BRITO,TRAVESSA MAJOR MATIAS ROSA 674
110,902551734,JESSICA CANDIDO PIRES ARAUJO,AVENIDA MAJOR JOSE AZEVEDO 677
111,986176656,RICARDO PEDRO ARAUJO ABREU,RUA  RICARDO LEAL 827
112,941333338,GABRIELA MONTEIRO,AVENIDA TIPOGRAFO JOSE PESSOA 918
113,964642755,PEDRO PEDRO OLIVEIRA,ALAMEDA SARGENTO MARCOS SALES 461
114,915000655,PAULO LUCAS MONTEIRO ALMEIDA BRASIL,PRACA PROFESSOR BRUNO CARVALHO 163
115,977156904,DANIELA LEAL BARROS,TRAVESSA DOUTOR MATIAS MORAES 336
116,940020721,JOAO PAULO FERNANDES SOARES,PRACA MAJOR CARLOS LIMA 328
117,974700953,LETICIA JULIA MONTEIRO BAHR ALBINO,PRACA TIPOGRAFO LUIZ PIRES 903
118,951754440,SAMANTA JESSICA VASCONCELOS,AVENIDA TIPOGRAFO JOAO FRAGA 206
119,985914574,JULIA NEVES PIRES JUSTINO,TRAVESSA MAJOR LUIZ PAIVA 485
120,999406315,SAMARA BENTO SILVEIRA,PRACA  JOAO ANTUNES 392
121,988881961,DANIEL GUSTAVO TEIXEIRA SANTOS,RUA DESEMBARGADOR GUSTAVO CAMARGO 11
122,948295156,JESSICA MAYARA JUSTINO PESSOA NASCIMENTO,AVENIDA DOUTOR FELIPE ABREU 355
123,916470918,BRUNA DENISE ANDRADE,AVENIDA PROFESSOR DANIEL AZEVEDO 335
124,955380617,LUIZ ARAUJO,PRACA PROFESSOR LUCAS LEAL 862
125,926854314,JESSICA LUCIA BRASIL CANDIDO,ALAMEDA DOUTOR MATHEUS LIMA 501
126,935409977,JULIA SAMARA SILVEIRA BRASIL PEREIRA,TRAVESSA DESEMBARGADOR LUIS PAIVA 452
127,914889023,MATHEUS JOAO MARQUES DUTRA,AVENIDA SARGENTO JOAO VIEIRA 197
128,929067387,MATIAS VASCONCELOS MIRANDA,PRACA MAJOR GABRIEL FAGUNDES 951
129,972056903,FELIPE ALBINO ANTUNES,ALAMEDA  RICARDO FERNANDES 143
130,934504918,BRUNA PIRES CARDOSO,AVENIDA SARGENTO LUCAS PIRES 277
131,964578811,JULIA ANTUNES JUSTINO,RUA TIPOGRAFO GUSTAVO RABELO 291
132,939583248,RAQUEL BATISTA,PRACA SARGENTO MATHEUS LIMA 995
133,970764971,BEATRIZ SAMARA ONOFRE MARTINS,ALAMEDA MAJOR FELIPE MACHADO 512
134,962954757,BEATRIZ PIRES,RUA MAJOR RICARDO LINHARES 600
135,901719603,RACHEL MARTINS BRASIL,ALAMEDA DOUTOR JOSE ARAUJO 499
136,981782629,MATIAS RICARDO COELHO TEIXEIRA,RUA TIPOGRAFO MATIAS PESSOA 227
137,910659182,GUILHERME ALFREDO DUTRA NEVES MATOS,RUA  GUSTAVO MONTEIRO 617
138,981858934,JAQUELINE RACHEL PESSOA MEDEIROS XAVIER,AVENIDA MAJOR PEDRO CARDOSO 112
139,991170866,BRUNO DANIEL FREITAS FRAGA LEAL,PRACA SARGENTO LUCAS DUTRA 248
140,908942563,FELIPE BATISTA AZEVEDO RODRIGUES,RUA DESEMBARGADOR RICARDO XAVIER 817
141,900325484,RACHEL BEATRIZ NASCIMENTO FAGUNDES ONOFRE,PRACA PROFESSOR ALFREDO RIBEIRO 900
142,924392749,ALFREDO MATIAS BARROS MACEDO,PRACA MAJOR JOAO SILVEIRA 633
143,918265552,CARLOS GABRIEL ANTUNES,PRACA DESEMBARGADOR DANIEL BRAGA 690
144,936426803,LUIZ PAIVA VIEIRA SILVA,AVENIDA PROFESSOR VINICIUS FRANCA 711
145,919406757,MATIAS MACHADO DUTRA ONOFRE,RUA MAJOR LUIZ FRANCA 287
146,972064998,JOAO MATHEUS RABELO FAGUNDES LIMA,TRAVESSA  BRUNO CARDOSO 589
147,996619239,JESSICA SAMANTA CARVALHO,ALAMEDA DESEMBARGADOR JOSE ASSIS 28
148,997244017,THIAGO THIAGO SILVA PADILHA MIRANDA,PRACA MAJOR JOSE VIEIRA 122
149,966378533,GABRIELA BARRETO,TRAVESSA MAJOR VINICIUS XAVIER 519
150,969331700,MARIA RAQUEL MEDEIROS LOPES JUSTINO,PRACA DESEMBARGADOR PAULO OLIVEIRA 533
151,918729161,LUCAS CARLOS BENTO,ALAMEDA TIPOGRAFO LEONARDO MACIEL 373
152,931145480,LETICIA MARTINS CARVALHO PEREIRA,TRAVESSA PROFESSOR THIAGO BENTO 360
153,929671107,DANIELA CAMARGO,ALAMEDA MAJOR BRUNO COELHO 611
154,904468424,JESSICA SAMARA ANTUNES ALVES PRADO,TRAVESSA TIPOGRAFO BRUNO CANDIDO 544
155,907852822,SAMANTA LETICIA MORAES,AVENIDA PROFESSOR VINICIUS AZEVEDO 242
156,911541424,JESSICA PADILHA CAMARGO,PRACA DOUTOR FELIPE BRASIL 868
157,976567717,SAMARA FERNANDES CORREIA,ALAMEDA DOUTOR PAULO VASCONCELOS 738
158,942752256,FELIPE RAMOS RAMOS RODRIGUES,TRAVESSA  GUILHERME CARDOSO 81
159,911138138,JULIA ERICA ARAUJO,RUA DOUTOR RICARDO MEDEIROS 117
160,904214364,ANA LUCIA ANDRADE TEIXEIRA FAGUNDES,TRAVESSA MAJOR THIAGO NEVES 432
161,955707707,BRUNA BRUNA PAIVA ANTUNES CAMARGO,AVENIDA  LUIS ASSIS 375
162,928150790,THIAGO PIRES,RUA  ALESSANDRO PRADO 109
163,919563544,PAULO LEONARDO PACHECO LEITE MARQUES,RUA DOUTOR MATHEUS MORAES 857
164,904010576,DANIELA ABREU MACEDO CAMARGO,AVENIDA TIPOGRAFO VINICIUS PINTO 253
165,967078544,ERICA SAMARA ALMEIDA AZEVEDO,RUA MAJOR PAULO SILVA 983
166,902421116,RAQUEL VARGAS ARAUJO FAGUNDES,TRAVESSA TIPOGRAFO ALFREDO BRASIL 113
167,978889765,LUIS MATHEUS SILVA MARQUES,ALAMEDA SARGENTO LUCAS FRANCA 144
168,909318043,MARIA CASTRO,RUA SARGENTO THIAGO SILVA 552
169,985786273,BRUNA MAYARA CARDOSO,AVENIDA SARGENTO GABRIEL MACIEL 33
170,992468432,GUILHERME ONOFRE CORREIA PIRES,AVENIDA PROFESSOR RICARDO RABELO 768
171,918774901,BRUNA CORREIA PAIVA,TRAVESSA MAJOR GABRIEL ROCHA 321
172,909612899,VINICIUS ALFREDO PESSOA MACHADO LEAL,TRAVESSA DESEMBARGADOR DANIEL PADILHA 635
173,956827587,SAMANTA FRANCA,PRACA PROFESSOR CARLOS XAVIER 786
174,978220749,DANIELA ANA ROSA,ALAMEDA TIPOGRAFO BRUNO PESSOA 245
175,981583296,LETICIA MARIA BRAGA MORAES RABELO,AVENIDA TIPOGRAFO GABRIEL TEIXEIRA 951
176,958121207,MARCOS DANIEL CARVALHO LEITE CAMPOS,PRACA TIPOGRAFO RAFAEL MIRANDA 202
177,915092404,DANIELA PESSOA,ALAMEDA MAJOR ALFREDO PACHECO 991
178,944877674,DANIEL LEITE ROSA,ALAMEDA  DANIEL MORAES 984
179,992616774,LUCIA ANA PACHECO,ALAMEDA DESEMBARGADOR ALFREDO CHAGAS 948
180,960912557,DENISE SALES,AVENIDA DOUTOR PEDRO ANDRADE 239
181,978513010,JAQUELINE OLIVEIRA ANTUNES,RUA SARGENTO DANIEL VASCONCELOS 998
182,945841037,JESSICA JESSICA TEIXEIRA FERNANDES,ALAMEDA SARGENTO PEDRO RABELO 468
183,986283278,THIAGO CARLOS FREITAS CASTRO RABELO,PRACA SARGENTO LUCAS LINHARES 955
184,915727921,BRUNA RABELO FAGUNDES LINHARES,AVENIDA MAJOR MARCOS ROCHA 996
185,980863641,MARCOS CASTRO PINHO,ALAMEDA TIPOGRAFO MARCOS TEIXEIRA 886
186,997069048,ANA PRADO VASCONCELOS,PRACA DOUTOR MATHEUS CHAGAS 976
187,962502030,RICARDO PINHO,AVENIDA DOUTOR PAULO ALVES 434
188,901865845,JULIA PINTO AMARAL,PRACA  PAULO NEVES 716
189,964863188,LUIZ FRAGA,ALAMEDA MAJOR VINICIUS ALVES 637
190,918146418,LARISSA DANIELA SILVEIRA,TRAVESSA MAJOR MATIAS MORAES 878
191,915259437,GABRIELA LINHARES BARROS,ALAMEDA DOUTOR MATHEUS MACEDO 214
192,960076298,ANA FRAGA CORREIA,AVENIDA PROFESSOR GUILHERME ROSA 834
193,999817884,RAQUEL ANA ALBINO,PRACA PROFESSOR JOSE ROCHA 841
194,914090412,CARLOS PESSOA OLIVEIRA,RUA DOUTOR ALESSANDRO BAHR 317
195,990665398,FELIPE PAULO ASSIS BARROS CORREIA,TRAVESSA MAJOR PAULO BARROS 973
196,967333650,JOAO THIAGO ASSIS ALBINO,PRACA MAJOR MATHEUS BATISTA 179
197,905902738,GABRIELA XAVIER SANTOS SILVEIRA,AVENIDA DESEMBARGADOR CARLOS PAIVA 253
198,996828252,RAFAEL SABINO FAGUNDES ONOFRE,AVENIDA DESEMBARGADOR GABRIEL RIBEIRO 442
199,961383431,RICARDO LUIZ MATOS,AVENIDA MAJOR JOSE CARVALHO 172
200,933735371,JESSICA MARIA MORAES BARROS ANDRADE,AVENIDA DESEMBARGADOR JOSE NEVES 55
201,929287679,BRUNO PEDRO NASCIMENTO,RUA  LEONARDO MONTEIRO 612
202,957548753,LUIS PADILHA FERNANDES,PRACA PROFESSOR LUIS PRADO 668
203,909347237,SAMANTA FERNANDES,RUA TIPOGRAFO JOSE ANTUNES 237
204,928704753,LEONARDO LEITE ARAUJO,AVENIDA DESEMBARGADOR MATHEUS TEIXEIRA 187
205,929667587,GUSTAVO PEREIRA FRAGA CAMARGO,PRACA DESEMBARGADOR LUIS LOPES 973
206,939551734,LUIZ VIEIRA,PRACA PROFESSOR VINICIUS CARVALHO 681
207,966117416,BRUNO DANIEL BAHR FRANCA PEREIRA,TRAVESSA  BRUNO MONTEIRO 664
208,934155305,GABRIELA LARISSA CASTRO PACHECO COELHO,AVENIDA PROFESSOR CARLOS PRADO 934
209,909048947,LUIS PEDRO MARQUES,RUA MAJOR LUIS BATISTA 27
210,942587642,LUIZ AMARAL ONOFRE,PRACA PROFESSOR MARCOS MONTEIRO 531
211,979493793,FELIPE MEDEIROS PRADO,ALAMEDA PROFESSOR BRUNO COELHO 432
212,965009166,LUCAS BRITO PESSOA,AVENIDA TIPOGRAFO MATHEUS PADILHA 768
213,910103763,RICARDO RICARDO ROSA,RUA SARGENTO ALFREDO PESSOA 289
214,903431938,SAMANTA SAMANTA JUSTINO LINHARES ABREU,AVENIDA TIPOGRAFO LUIS MORAES 394
215,926672292,LUANA ALVES,AVENIDA DOUTOR DANIEL COELHO 206
216,926536036,LUANA BEATRIZ MARQUES ANDRADE ONOFRE,ALAMEDA  GUSTAVO JUSTINO 346
217,982370848,LUIS MACIEL FRAGA,PRACA PROFESSOR ALESSANDRO PEREIRA 903
218,924788743,JAQUELINE BATISTA,ALAMEDA SARGENTO RAFAEL NEVES 937
219,900069901,SAMANTA GABRIELA BENTO SABINO,PRACA SARGENTO MATIAS MIRANDA 579
220,950453675,SAMANTA LUCIA PEREIRA,TRAVESSA  JOAO MACHADO 165
221,967203113,BRUNO ONOFRE,AVENIDA SARGENTO CARLOS MARTINS 238
222,955207357,AMANDA DANIELA PADILHA,PRACA DOUTOR JOSE SABINO 675
223,974300126,ALESSANDRO MATHEUS CASTRO,TRAVESSA DOUTOR FELIPE LEITE 475
224,933010622,DANIEL DANIEL CHAGAS CAMARGO,TRAVESSA PROFESSOR RICARDO CHAGAS 73
225,978321776,PAULO RAFAEL PADILHA,PRACA PROFESSOR JOAO SABINO 349
226,991937456,RACHEL ALMEIDA SILVEIRA MIRANDA,RUA DOUTOR ALFREDO BAHR 543
227,915432476,MAYARA SAMANTA CARDOSO CASTRO,ALAMEDA SARGENTO GABRIEL SOARES 844
228,973542832,SAMARA MACHADO,RUA  FELIPE AZEVEDO 578
229,942654084,GABRIELA MARIA RABELO ROCHA,TRAVESSA DOUTOR MATIAS SANTOS 620
230,964929118,MARIA BRASIL ALMEIDA,TRAVESSA TIPOGRAFO MATIAS FREITAS 350
231,934246717,RAFAEL PAIVA,ALAMEDA TIPOGRAFO LEONARDO XAVIER 446
232,973418112,RAFAEL ALESSANDRO MARTINS CAMPOS,ALAMEDA DOUTOR LUIS TEIXEIRA 883
233,970332635,LUCAS CHAGAS,PRACA PROFESSOR CARLOS ALMEIDA 719
234,927223156,MATIAS MARCOS PAIVA ROSA,PRACA DOUTOR GUSTAVO SALES 985
235,995521853,PEDRO NASCIMENTO,ALAMEDA MAJOR PEDRO ARAUJO 956
236,931151592,BRUNA SALES LEITE,PRACA MAJOR JOSE ROCHA 21
237,941715411,SAMARA ANDRADE,TRAVESSA DESEMBARGADOR VINICIUS PINHO 876
238,936266763,GABRIELA BRUNA CAMARGO BRASIL COELHO,ALAMEDA DESEMBARGADOR GUILHERME COELHO 127
239,933443725,BRUNO PAULO CARDOSO,AVENIDA  THIAGO MEDEIROS 410
240,978506951,JULIA BRITO,ALAMEDA MAJOR GUSTAVO BARRETO 490
241,953252852,DENISE DENISE CARVALHO PRADO,RUA  GUSTAVO ARAUJO 761
242,991087140,FELIPE LIMA PINHO SANTOS,AVENIDA TIPOGRAFO LUIZ ROCHA 917
243,984057946,AMANDA DANIELA PEREIRA NEVES FERNANDES,TRAVESSA MAJOR THIAGO CAMPOS 550
244,951736126,BRUNA MACHADO,TRAVESSA PROFESSOR LUIZ CAMPOS 485
245,922274894,ALFREDO SANTOS BRITO,PRACA DOUTOR LUIS BAHR 867
246,949971476,ALFREDO ARAUJO SANTOS PEREIRA,ALAMEDA MAJOR FELIPE MACIEL 98
247,949236955,MARIA SANTOS,ALAMEDA MAJOR RICARDO MACEDO 896
248,973222165,LEONARDO PEDRO CANDIDO,PRACA SARGENTO GUSTAVO MACHADO 52
249,958375071,RACHEL SABINO,RUA MAJOR THIAGO PEREIRA 162
250,992519692,ANA RACHEL PIRES,ALAMEDA DOUTOR GABRIEL FRAGA 794
251,965928772,DANIEL THIAGO XAVIER MACIEL BRASIL,PRACA DESEMBARGADOR RAFAEL OLIVEIRA 800
252,978447370,PEDRO SILVEIRA PIRES MARTINS,PRACA PROFESSOR BRUNO FRAGA 832
253,997645749,ALESSANDRO SILVEIRA NASCIMENTO BRAGA,ALAMEDA PROFESSOR MARCOS VIEIRA 409
254,952533260,ERICA DANIELA BARROS CAMARGO,AVENIDA MAJOR LUIS COELHO 105
255,934487502,THIAGO MATHEUS OLIVEIRA AZEVEDO CASTRO,RUA TIPOGRAFO THIAGO PAIVA 465
256,910509974,MARIA PEREIRA ROCHA,PRACA DESEMBARGADOR JOAO BARROS 619
257,972626263,LUIZ GUILHERME CHAGAS LIMA VARGAS,PRACA MAJOR FELIPE RABELO 932
258,997860581,RACHEL RAQUEL OLIVEIRA PAIVA BAHR,ALAMEDA  THIAGO FREITAS 962
259,994486357,RACHEL LETICIA COELHO ARAUJO,RUA DOUTOR RICARDO VASCONCELOS 134
260,927888751,SAMANTA LETICIA PRADO,ALAMEDA  ALESSANDRO CHAGAS 608
261,944623357,BEATRIZ GABRIELA MIRANDA BRAGA,ALAMEDA DOUTOR PEDRO VASCONCELOS 395
262,997001713,SAMANTA GABRIELA OLIVEIRA,AVENIDA DESEMBARGADOR DANIEL MORAES 198
263,998605615,THIAGO ALBINO ALMEIDA,RUA TIPOGRAFO MATIAS PRADO 859
264,970415412,BEATRIZ BRUNA BARROS LEAL,AVENIDA TIPOGRAFO JOAO ASSIS 728
265,902703429,AMANDA NEVES,AVENIDA TIPOGRAFO ALESSANDRO PACHECO 914
266,969972116,GUSTAVO DANIEL ROSA,PRACA PROFESSOR BRUNO VASCONCELOS 359
267,964162815,ANA MATOS ANDRADE SILVA,PRACA DOUTOR MATIAS XAVIER 574
268,978235718,ALFREDO NASCIMENTO,AVENIDA SARGENTO GUILHERME RODRIGUES 728
269,916251637,JOAO CAMARGO VIEIRA,RUA DESEMBARGADOR MATIAS BRASIL 836
270,986398280,RICARDO CAMPOS FRAGA,RUA TIPOGRAFO MARCOS CHAGAS 668
271,921793693,JESSICA SABINO TEIXEIRA,AVENIDA SARGENTO GABRIEL AZEVEDO 940
272,990834029,MATHEUS BENTO BATISTA PRADO,RUA DESEMBARGADOR CARLOS ALVES 590
273,965140289,MATHEUS GABRIEL PADILHA NASCIMENTO,AVENIDA MAJOR THIAGO BARROS 103
274,959380934,BRUNA DENISE MARTINS MORAES,AVENIDA SARGENTO CARLOS ALVES 35
275,979127469,RAQUEL FERNANDES PACHECO MACHADO,RUA SARGENTO LUCAS BARROS 80
